Var1,Var2,Var3,Var4,Var5,Var6
0.125,-0.000231206553594316,-0.00302522173828963,0,0.005645751953125,-0.0190801657736301
0.13,-0.000251445039426547,-0.00315162277643695,0,0.00559234619140625,-0.0191535614430904
0.135,-0.000272534775465329,-0.0032077110409535,0,0.00545501708984375,-0.0192926675081253
0.14,-0.000294646127126265,-0.00342989712772472,0,0.005218505859375,-0.0193556360900402
0.145,-0.000318144633537929,-0.0036448121438328,0,0.00508880615234375,-0.0193375237286091
0.15,-0.000343091485081604,-0.00390928346481009,0,0.00499725341796875,-0.0192718394100666
0.155,-0.000369530230817385,-0.00413181830412673,0,0.00495147705078125,-0.0192435719072819
0.16,-0.000397494957462389,-0.00437892314365851,0,0.00475311279296875,-0.0193973165005445
0.165,-0.000426930420247968,-0.00461404084132752,0,0.0046539306640625,-0.0193692613393068
0.17,-0.000457894388762852,-0.00491557543878949,0,0.00457000732421875,-0.0192732252180576
0.175,-0.000490431621433112,-0.00514051191978719,0,0.00444793701171875,-0.0192513111978769
0.18,-0.000525730081744325,-0.00534151964981897,0,-0.009613037109375,-0.0201425999403
0.185,-0.00056238149890041,-0.00555345093796982,0,-0.0097503662109375,-0.0201449077576399
0.19,-0.000600642947923205,-0.00589071802510548,0,-0.00989532470703125,-0.0201504919677973
0.195,-0.00064054692955137,-0.00607341922376797,0,-0.0100479125976562,-0.0201790742576122
0.2,-0.00068153107779318,-0.0061533488035236,0,-0.0102157592773438,-0.0202241204679012
0.205,-0.000723548340880995,-0.00636737612466306,0,-0.0103225708007812,-0.020233727991581
0.21,-0.000766685616493253,-0.00634114608958738,0,-0.010406494140625,-0.0204776544123888
0.215,-0.000810459945882292,-0.00641378952361835,0,-0.010498046875,-0.0206296145915985
0.22,-0.000855566944677751,-0.00681126784866145,0,-0.0107803344726562,-0.0206366386264563
0.225,-0.00090240140421812,-0.00692573653948508,0,-0.0108413696289062,-0.0207443628460169
0.23,-0.000950341927451696,-0.0071365219872848,0,-0.010955810546875,-0.0207666661590338
0.235,-0.000999603185313067,-0.00733827972748416,0,-0.0110626220703125,-0.0207869317382574
0.24,-0.00105010708973396,-0.00765420641226769,0,-0.0112533569335938,-0.0205670818686485
0.245,-0.00110219683608986,-0.00792060168882276,0,-0.0113754272460938,-0.0205208584666252
0.25,-0.00115574167284095,-0.00823088472675867,0,-0.0114822387695312,-0.0204246658831835
0.255,-0.00121094765009718,-0.00833665850731135,0,-0.0116424560546875,-0.0207179561257362
0.26,-0.00126844884905645,-0.00850215618981633,0,-0.0181732177734375,-0.0213885083794594
0.265,-0.00132424790671554,-0.00874454794612893,0,0.00055694580078125,-0.020514290779829
0.27,-0.00138132901271041,-0.00900683082895254,0,0.00043487548828125,-0.0204676669090986
0.275,-0.0014397144876462,-0.0091628414678872,0,0.00035858154296875,-0.0205359552055597
0.28,-0.00149916169294384,-0.00937088694486782,0,0.0001068115234375,-0.0205585937947035
0.285,-0.00155974402360235,-0.00974786675365628,0,5.340576171875e-05,-0.0203982032835484
0.29,-0.0016218459350468,-0.0100927285924309,0,-5.340576171875e-05,-0.0202629957348108
0.295,-0.00168535849613516,-0.0103663691556669,0,-0.00016021728515625,-0.0201943293213844
0.3,-0.00175008776437055,-0.010588595910763,0,-0.00035858154296875,-0.0201667919754982
0.305,-0.00181594015839264,-0.0106944209635644,0,-0.00054931640625,-0.0202690660953522
0.31,-0.00188252381202284,-0.011004244628257,0,-0.00072479248046875,-0.020151823759079
0.315,-0.00195043008348335,-0.011108863756533,0,-0.0008697509765625,-0.0202573332935572
0.32,-0.00201904949452952,-0.0111763764680317,0,-0.00096893310546875,-0.0203280728310347
0.325,-0.00208838511981764,-0.0112500065746102,0,-0.00110626220703125,-0.0204549971967936
0.33,-0.00215833731693192,-0.0115271973769687,0,-0.001251220703125,-0.0203869864344597
0.335,-0.00222936299464437,-0.0118059677044917,0,-0.0012664794921875,-0.0203127730637789
0.34,-0.00230213512780784,-0.0119580220064395,0,-0.00431060791015625,-0.020471228286624
0.345,-0.0023756927288965,-0.0121707928182367,0,-0.0044097900390625,-0.0204573813825846
0.35,-0.00245022403631168,-0.0123283513926507,0,-0.00452423095703125,-0.0204995591193438
0.355,-0.00252550678408536,-0.0125598992087839,0,-0.00463104248046875,-0.0204678233712912
0.36,-0.00260199433520877,-0.0126108889362621,0,-0.00482940673828125,-0.0206643715500832
0.365,-0.00267874402096338,-0.0128391379671666,0,-0.00507354736328125,-0.0205138958990574
0.37,-0.00275622089391141,-0.0131712307428906,0,-0.005157470703125,-0.0203667059540749
0.375,-0.00283484709926603,-0.0133522525235879,0,-0.00524139404296875,-0.0203748513013124
0.38,-0.00291425764228751,-0.0135997313997582,0,-0.00547027587890625,-0.0203644335269928
0.385,-0.00299450862349526,-0.0138179366128,0,-0.00556182861328125,-0.0203272607177496
